City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
382,Wana,PK,81.28,32.2989,69.5725,Rest House at Wana Camp
383,Freeport,US,75.38,40.6576,-73.5832,The Freeport Inn and Marina
384,Chai Badan,TH,87.66,15.2,101.1333,Narai Grand Hotel
385,Georgetown,MY,84.15,5.4112,100.3354,Cititel Penang
386,Kysyl-Syr,RU,60.82,63.8986,122.7617,
387,Road Town,VG,82.2,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
388,Alta Floresta,BR,72.66,-9.8756,-56.0861,Floresta Amazonica Hotel
389,Dubuque,US,72.28,42.4833,-90.8668,American Inn and Suites
390,Beinamar,TD,69.49,8.6698,15.3813,
391,Kpandae,GH,73.26,8.4689,-0.0113,S. Amaski Guest House
392,Yueyang,CN,80.44,29.3333,113.0919,Delong Fortune Hotel
393,Salumbar,IN,83.68,24.1333,74.05,chatra chaya guest house
394,Suluq,LY,80.11,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
395,Ridgecrest,US,98.46,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
396,Tiarei,PF,78.82,-17.5333,-149.3333,Le Rocher de Tahiti
397,Vilhena,BR,70.34,-12.7406,-60.1458,Hotel Mirage
399,Seoul,KR,85.6,37.5683,126.9778,롯데호텔 서울
400,Ipameri,BR,66.78,-17.7219,-48.1597,Real Hotel
401,Lobito,AO,70.74,-12.3481,13.5456,Casa Rosa Hotel Residence
402,Tigzirt,DZ,87.08,36.8886,4.1198,Bloc D tazoumbirt (amar)
403,Severnyy,RU,66.24,50.677,36.5532,Full House North Mini-Hotel
404,Tura,IN,77.76,25.5198,90.2201,Hotel RIKMAN Continental
406,Bocs,HU,65.68,48.05,20.9667,Rabócz és Társa Bt. Kt. A.
407,Barstow,US,93.49,34.8986,-117.0228,"Motel 6 Barstow, CA"
409,Tezu,IN,83.21,27.9167,96.1667,Circuit House
410,Sharan,RU,60.51,54.8167,54.0,
412,Nicolas Bravo,MX,75.6,18.45,-88.9167,
413,Sao Joao Da Ponte,BR,67.46,-15.9292,-44.0078,Hotel da Cidade
414,Syamzha,RU,64.65,60.0158,41.0614,Hotel Syamzha
415,Natchitoches,US,82.38,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
416,Okhotsk,RU,67.46,59.3833,143.3,
418,Washington,US,87.78,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
419,Khani,GE,62.17,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
420,Tautira,PF,78.82,-17.7333,-149.15,Pension Oaoa
421,Tangwani,PK,82.33,28.2787,68.9972,Malik Hafeez Markeet
422,Bambanglipuro,ID,82.71,-7.95,110.2833,Puri Brata
423,Buraydah,SA,81.05,26.326,43.975,فندق راحة السلام
424,Roald,NO,60.33,62.5833,6.1333,Flem Cabins
425,Cap Malheureux,MU,68.49,-19.9842,57.6142,Pereybere Hotel & Spa
426,Bafia,CM,67.64,4.75,11.2333,Rim touristique hôtel
427,Savinka,RU,80.04,50.0785,47.0994,
428,Sungaipenuh,ID,76.46,-2.0833,101.3833,Hotel Jaya Wisata 2
429,Gizo,SB,83.48,-8.103,156.8419,Imagination Island
430,Itarema,BR,79.3,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
431,Sechura,PE,64.42,-5.5569,-80.8222,Hospedaje Costa Bella
434,Darnah,LY,81.07,32.767,22.6367,فندق الفردوس
